3,0.1611,0.2364,11
4,0.1181,0.2215,18
5,0.0809,0.1939,28
6,0.0482,0.1604,40
7,0.0244,0.1241,53
8,0,0.0853,68
9,-0.0233,0.0355,85
11,0.1494,0.286,5
12,0.0981,0.2653,10
13,0.0595,0.2377,17
14,0.0265,0.2021,27
15,0,0.1645,39
16,-0.0244,0.1241,52
17,-0.0477,0.0703,67
19,0.0772,0.3131,4
20,0.0342,0.281,9
21,0,0.2429,16
22,-0.0265,0.2021,26
23,-0.0482,0.1604,38
24,-0.0712,0.1089,51
26,0,0.323,3
27,-0.0342,0.281,8
28,-0.0595,0.2377,15
29,-0.0809,0.1939,25
30,-0.1005,0.1451,37
33,-0.0772,0.3131,2
34,-0.0981,0.2653,7
35,-0.1181,0.2215,14
36,-0.1224,0.1785,24
38,-0.1494,0.286,1
39,-0.1611,0.2364,6
40,-0.1617,0.1859,13
41,-0.1475,0.1406,23
42,-0.1233,0.1019,36
43,-0.1014,0.0652,50
44,-0.0742,0.0261,66
45,-0.0398,-0.0141,84
48,-0.2128,0.1894,12
49,-0.1993,0.1379,22
50,-0.1725,0.0922,35
51,-0.1435,0.0529,49
52,-0.1161,0.0152,65
53,-0.0767,-0.0274,83
56,-0.2503,0.125,21
57,-0.222,0.0778,34
58,-0.189,0.04,48
59,-0.1547,0.0016,64
60,-0.1167,-0.0404,82
63,-0.2702,0.0475,33
64,-0.2331,0.0135,47
65,-0.1932,-0.0168,63
66,-0.1584,-0.0525,81
70,-0.2751,-0.0301,46
71,-0.2307,-0.0499,62
72,-0.1933,-0.0685,80
75,-0.2558,-0.1041,61
76,-0.2092,-0.1137,79
77,-0.1671,-0.1071,99
78,-0.126,-0.0995,100
79,-0.0857,-0.0856,101
80,-0.0448,-0.0687,102
81,0,-0.0442,103
84,-0.2759,-0.1576,60
85,-0.2196,-0.1679,78
86,-0.1732,-0.1598,98
87,-0.128,-0.1467,114
88,-0.0867,-0.1306,115
89,-0.0463,-0.1143,116
90,0,-0.0859,117
96,-0.2228,-0.2222,77
97,-0.171,-0.2171,97
98,-0.1293,-0.1983,113
99,-0.0864,-0.1785,127
100,-0.0458,-0.1555,128
101,0,-0.1748,139
106,-0.2157,-0.2822,96
107,-0.1629,-0.2734,112
108,-0.116,-0.2545,126
109,-0.0782,-0.2281,137
110,-0.0393,-0.201,138
114,-0.2039,-0.335,111
115,-0.137,-0.3311,125
116,-0.0908,-0.3074,136
117,-0.0505,-0.2782,146
118,-0.0265,-0.2456,147
119,0,-0.2159,148
122,-0.1449,-0.399,124
123,-0.1015,-0.3677,135
124,-0.0681,-0.3486,145
125,-0.0289,-0.3205,154
126,0,-0.2846,155
127,0.0265,-0.2456,149
128,0.0393,-0.201,140
129,0.0458,-0.1555,130
130,0.0463,-0.1143,118
131,0.0448,-0.0687,104
132,0.0398,-0.0141,88
135,-0.0748,-0.4086,144
136,-0.0321,-0.3909,153
137,0,-0.3637,158
138,0.0289,-0.3205,156
139,0.0505,-0.2782,150
140,0.0782,-0.2281,141
141,0.0864,-0.1785,131
142,0.0867,-0.1306,119
143,0.0857,-0.0856,105
144,0.0767,-0.0274,89
147,0,-0.4277,159
148,0.0321,-0.3909,157
149,0.0681,-0.3486,151
150,0.0908,-0.3074,142
151,0.116,-0.2545,132
152,0.1293,-0.1983,121
153,0.128,-0.1467,120
154,0.126,-0.0995,106
155,0.1167,-0.0404,90
157,0.0748,-0.4086,152
158,0.1015,-0.3677,143
159,0.137,-0.3311,133
160,0.1629,-0.2734,122
161,0.171,-0.2171,109
162,0.1732,-0.1598,108
163,0.1671,-0.1071,107
164,0.1584,-0.0525,91
167,0.1449,-0.399,134
168,0.2039,-0.335,123
169,0.2157,-0.2822,110
170,0.2228,-0.2222,95
171,0.2196,-0.1679,94
172,0.2092,-0.1137,93
173,0.1933,-0.0685,92
179,0.2759,-0.1576,76
180,0.2558,-0.1041,75
181,0.2307,-0.0499,74
182,0.1932,-0.0168,73
183,0.1547,0.0016,72
184,0.1161,0.0152,71
185,0.0742,0.0261,70
186,0.0233,0.0355,87
193,0.2751,-0.0301,59
194,0.2331,0.0135,58
195,0.189,0.04,57
196,0.1435,0.0529,56
197,0.1014,0.0652,55
198,0.0477,0.0703,69
203,0.2702,0.0475,45
204,0.222,0.0778,44
205,0.1725,0.0922,43
206,0.1233,0.1019,42
207,0.0712,0.1089,54
212,0.2503,0.125,32
213,0.1993,0.1379,31
214,0.1475,0.1406,30
215,0.1005,0.1451,41
222,0.2128,0.1894,20
223,0.1617,0.1859,19
224,0.1224,0.1785,29
225,0,-0.13035,129
226,0,0,86
